No,tw,a,hw,fyw,tf,bf,fyf,Ss,bl,tst,bst,Pu
1,5,1000,700,392,20,225,355,200,75,5,60,699.1
2,5,1000,700,392,20,225,355,200,125,5,60,507.4
3,5,1000,700,392,20,225,355,200,125,10,80,520.6
4,5,1000,700,392,20,225,355,200,75,10,80,559.9
5,5,1000,700,392,20,225,355,200,100,10,80,582.1
6,4,1200,800,405,10,160,371,300,160,5,60,436.5
7,6,1200,800,447,15,200,364,300,300,5,60,632.1
8,6,1200,800,483,20,300,399,300,230,5,60,590.3
9,6,1800,800,483,20,300,399,300,160,5,60,698
10,6,1050,800,483,20,300,399,200,230,5,60,645.1
11,6,1050,800,483,20,300,399,200,160,5,60,777.9
12,3.8,2480,1000,375,8.35,150,296,40,150,2,80,130
13,3.8,1760,1000,375,8.35,150,296,40,150,2,80,176
14,3.8,1760,1000,375,8.35,150,296,40,150,2,80,172
15,3.8,2480,1000,375,8.35,150,281,40,200,2,90,135
16,3.8,1760,1000,375,8.35,150,281,40,200,2,90,165
17,3.8,1760,1000,375,8.35,150,281,40,200,2,90,170
18,3.8,2480,1000,358,8.3,150,292,240,150,2,80,160
19,3.8,1760,1000,358,8.3,150,292,240,150,2,80,280
20,3.8,1760,1000,358,8.3,150,292,240,150,2,80,300
21,3.8,2480,1000,358,8.3,150,328,240,200,2,90,199
22,3.8,1760,1000,358,8.3,150,328,240,200,2,90,229
23,3.8,1760,1000,358,8.3,150,328,240,200,2,90,235
24,3.8,2480,1000,371,12,150,286,40,150,2,80,130
25,3.8,1760,1000,371,12,150,286,40,150,2,80,198
26,3.8,1760,1000,371,12,150,286,40,150,2,80,210
27,3.8,2480,1000,371,12,150,283,40,150,2,90,145
28,3.8,1760,1000,371,12,150,283,40,150,2,90,184
29,3.8,1760,1000,371,12,150,283,40,150,2,90,180
30,3.8,2480,1000,380,12,150,282,240,150,2,80,247
31,3.8,1760,1000,380,12,150,282,240,150,2,80,330
32,3.8,1760,1000,380,12,150,282,240,150,2,80,315
33,3.8,2480,1000,380,12,150,275,240,150,2,90,161
34,3.8,1760,1000,380,12,150,275,240,150,2,90,275
35,3.8,1760,1000,380,12,150,275,240,150,2,90,288
36,3,3000,735,252,12,250,277,40,250,6,60,93.3
37,3,1100,735,252,12,250,277,40,250,6,60,92.4
38,3,1100,735,252,12,250,277,120,250,6,60,101
39,3,3000,735,252,12,250,277,40,150,6,60,104.7
40,3,1100,735,252,12,250,277,40,150,6,60,101.8
41,3,1100,735,252,12,250,277,120,150,6,60,106.3
42,2,505,505,236,5,50,439,50,250,5,12,30
43,2,505,505,239,5,50,439,50,250,5,20,35
44,2,505,505,231,5,50,453,50,250,5,30,33.5
45,2,505,505,234,5,50,453,50,100,5,12,36.5
46,2,505,505,232,5,50,446,50,100,5,20,35.6
47,2,505,505,233,5,50,458,50,100,5,30,41
48,2,505,505,236,5,50,485,50,50,5,12,35
49,2,505,505,234,5,50,466,50,50,5,12,42
50,2,505,505,239,5,50,467,50,50,5,20,39
51,2,505,505,232,5,50,471,50,50,5,20,42
52,2,505,505,231,5,50,461,50,50,5,30,47.5
53,2,505,505,233,5,50,481,50,50,5,30,42.5
54,2,1005,502.5,191,5,50,293,100,250,5,12,32
55,2,1005,502.5,210,5,50,472,100,250,5,20,34
56,2,1005,502.5,215,5,50,476,100,250,5,30,37.5
57,2,1005,502.5,204,5,50,295,100,100,5,12,32.5
58,2,1005,502.5,218,5,50,461,100,100,5,20,38
59,2,1005,502.5,218,5,50,470,100,100,5,30,38.2
60,2,1005,502.5,191,5,50,303,100,50,5,12,29
61,2,1005,502.5,204,5,50,293,100,50,5,12,33
62,2,1005,502.5,210,5,50,475,100,50,5,20,44
63,2,1005,502.5,218,5,50,469,100,50,5,20,34
64,2,1005,502.5,215,5,50,478,100,50,5,30,43
65,2,1005,502.5,218,5,50,473,100,50,5,30,40
66,6,622.5,500,256,12,120,242,62,200,5,40,315
67,6,622.5,500,256,12,120,242,62,200,5,40,300
68,6,622.5,500,256,12,120,242,62,125,5,40,342
69,6,622.5,500,256,12,120,242,62,125,5,40,327
70,6,622.5,500,256,12,120,242,62,75,5,40,370
71,6,622.5,500,256,12,120,242,62,75,5,40,395
72,6,622.5,500,256,12,120,242,62,200,5,40,285
73,6,622.5,500,256,12,120,242,62,200,5,40,295
74,6,622.5,500,256,12,120,242,62,125,5,40,290
75,6,622.5,500,256,12,120,242,62,125,5,40,299
76,6,622.5,500,256,12,120,242,62,75,5,40,351
77,6,622.5,500,256,12,120,242,62,75,5,40,338
78,6,622.5,500,256,12,120,242,62,200,5,40,296
79,6,622.5,500,256,12,120,242,62,200,5,40,276
80,6,622.5,500,256,12,120,242,62,125,5,40,300
81,6,622.5,500,256,12,120,242,62,125,5,40,282
82,6,622.5,500,256,12,120,242,62,75,5,40,372
83,6,622.5,500,256,12,120,242,62,75,5,40,399
84,2.4,500,500,224,5.1,100,292,50,100,5.2,13.3,40
85,2.2,500,500,238,6.1,119.9,309,50,100,5.2,31.5,55
86,2.2,500,500,238,6,119.8,309,50,100,5,40.5,57.5
87,2.2,500,500,238,6,120.2,309,50,100,5.3,50.2,62
88,2.2,500,500,238,11.7,119.9,239,50,100,5.7,30.9,65
89,2.2,500,500,238,11.9,119.3,239,50,100,5,40.5,66.5
90,2.2,500,500,238,11.9,119.7,239,50,100,5.1,50.1,59
91,4.4,500,500,362,8.5,118.6,262,50,100,5.1,17.2,192
92,4,500,500,360,8.4,119.3,262,50,100,8.1,40.7,190
93,4,500,500,360,7.8,119.1,262,50,100,8.1,50,202
94,4,500,500,360,8.5,119.2,262,50,100,8.5,60.5,193.5
95,4,500,500,360,20,120.9,285,50,100,7.8,39.3,315
96,4,500,500,360,20,120.6,285,50,100,8.4,50.7,290
97,4,500,500,360,20,120.4,285,50,100,8.4,60.4,276
98,5.6,500,500,426,11.9,120.2,239,50,100,7.9,22.8,339
99,5.6,500,500,426,12.3,89.7,277,50,100,10,32.2,387
100,5.5,500,500,455,12.3,89.7,277,50,100,11,51.1,408
101,5.5,500,500,455,12.1,89.4,277,50,100,9.9,60.1,420
102,5.6,500,500,426,30.4,99,254,50,100,10,32.4,564
103,5.6,500,500,426,30.5,100,254,50,100,10,50.7,592
104,5.6,500,500,426,30,100.1,254,50,100,10,60.5,610
105,2,500,500,244,6,119.6,274,50,100,5.2,16.6,55
106,2,500,500,244,6,119.9,274,50,100,5.2,20.2,50
107,2,500,500,244,6.1,119.9,274,50,100,5.2,24.9,57
108,2,500,500,244,12.1,120.7,254,50,100,5.1,15.8,84
109,2,500,500,244,12.1,120.7,254,50,100,5.2,20.2,72
110,2,500,500,244,12.1,120.8,254,50,100,5.1,25.2,76
111,4,500,500,283,8.4,120.1,294,50,100,8.1,20.2,171
112,4,500,500,283,8.5,120.2,294,50,100,8.3,30.6,156
113,4,500,500,283,8.3,120.4,294,50,100,8.1,34.4,185
114,4,500,500,283,20.3,120.9,270,50,100,8.2,19.8,256.5
115,4,500,500,283,20.4,120.9,270,50,100,8.4,30.2,248
116,4,500,500,283,20.2,120.7,270,50,100,8,35.9,257
117,5.4,500,500,396,12.4,90.7,272,50,100,10,25,336
