No,tw,a,hw,fyw,tf,bf,fyf,Ss,bl,tst,bst,Pu
118,5.4,500,500,396,12.3,90.8,272,50,100,11,30.2,387.5
119,5.4,500,500,396,12.4,90.7,272,50,100,11,34.7,399
120,5.4,500,500,396,30.4,99.6,269,50,100,10,25.6,610
121,5.4,500,500,396,30.6,99.3,269,50,100,11,30.3,600
122,5.4,500,500,396,30.6,100.2,269,50,100,11,33.9,605
123,4.1,500,500,304,8.3,120.3,278,50,50,5.2,16,201
124,4.1,500,500,304,8.3,120.4,278,50,50,5.1,16,196
125,4.1,500,500,304,8.2,120.8,278,50,50,8.1,20.8,186
126,4.1,500,500,304,8.1,120.6,278,50,50,8.1,21.5,199
127,4.1,500,500,304,8.2,120.3,278,50,50,8.3,25.5,199
128,4.1,500,500,304,8.2,120.8,278,50,50,8.2,25.5,186
129,4.1,500,500,304,8.1,120.7,278,50,50,8.2,30.3,187
130,4.1,500,500,304,8.4,120.6,278,50,50,8.2,30.4,210
131,4.1,500,500,304,8.1,120.7,278,50,50,7.9,35.1,192
132,4.1,500,500,304,8.2,120.7,278,50,50,8.1,40.5,208
133,4.1,500,500,304,19.7,118.2,244,50,50,5.2,15.4,243
134,4.1,500,500,304,19.7,118.6,244,50,50,5.2,15.8,237
135,4.1,500,500,304,19.8,118.5,244,50,50,8.1,20.6,267
136,4.1,500,500,304,19.9,118.4,244,50,50,8.1,20.4,259
137,4.1,500,500,304,19.8,118.6,244,50,50,8.3,24.6,255
138,4.1,500,500,304,19.9,118.7,244,50,50,8.3,24.5,261
139,4.1,500,500,304,19.7,118.6,244,50,50,8.3,30.2,264
140,4.1,500,500,304,19.6,118.3,244,50,50,8.2,30.9,266
141,4.1,500,500,304,19.6,118.3,244,50,50,8,35.1,270
142,4.1,500,500,304,19.6,118.4,244,50,50,8.1,40.4,285
143,2.1,802,798,266,15.55,300.5,286,40,168,6.1,60,71
144,2,800,798,266,5.07,120.4,285,40,162,4,40,45
145,2,800,800,266,15,300,295,40,168,6.1,60,68.5
146,2,800,800,266,5,120,285,40,162,4,40,42.5
147,2,2500,800,300,15,300,295,40,160,6,60,80
148,2,1200,800,300,15,300,295,40,160,6,60,78
149,2,600,800,300,15,300,295,40,160,6,60,92
150,3,2500,800,245,12,250,265,40,160,6,60,132.6
151,3,1200,800,245,12,250,265,40,160,6,60,97.5
152,3,600,800,245,12,250,265,40,160,6,60,121.4
153,2,2200,680,354,5,120,290,40,136,4,40,45.8
154,2,1020,680,354,5,120,290,40,136,4,40,54.4
155,2,510,680,354,5,120,290,40,136,4,40,54.7
156,3.2,897.1,899.1,270,8,181.2,266,90,180,4.7,29.7,105.42
157,3.2,892.2,901.5,270,8,180.4,266,90,180,4.7,38.2,110.36
158,6,1780,1274,279,40,230,244,690,327,12,110,720
159,6,1780,1274,286,40,230,267,690,264,12,110,730
160,6,1000,1000,325,9,300,235.2,300,200,6,80,438.2
161,3.2,635,635,303,12.7,152.4,303,127,127,4.8,74.4,130
162,3.2,635,635,275,6.35,152.4,275,127,127,4.8,74.4,85
163,4,1000,500,317.7,8,120,323,200,100,30,8,275.3
164,4,1000,500,318.2,8,120,311.5,100,100,30,8,200.3
165,4,1000,500,261.7,8,120,314,250,100,30,8,290.3
166,4,500,500,324,8,120,325,50,100,30,8,183
167,4,500,500,320.5,8,120,315,25,100,30,8,180
168,4,500,500,327.5,8,120,321,100,100,30,8,225
169,4,500,500,332,8,120,320,125,100,30,8,259
170,4,500,500,318,8,120,317,150,100,30,8,255
